Code,Name,Symptoms,Treatments
0,Swelling,"Swelling in the leg, Elevate the leg, apply cold compress", consult a doctor
1,Panic disorder,"Palpitations, Sweating, Trembling, Shortness of breath, Fear of losing control, Dizziness","Antidepressant medications, Cognitive Behavioral Therapy, Relaxation Techniques"
2,Vocal cord polyp,"Hoarseness, Vocal Changes, Vocal Fatigue","Voice Rest, Speech Therapy, Surgical Removal"
3,Turner syndrome,"Short stature, Gonadal dysgenesis, Webbed neck, Lymphedema","Growth hormone therapy, Estrogen replacement therapy, Cardiac and renal evaluations"
4,Cryptorchidism,"Absence or undescended testicle(s), empty scrotum, smaller or underdeveloped testicle(s), inguinal hernia, abnormal positioning of the testicle(s) (higher in the groin area)","Observation and monitoring (in cases of mild or transient cryptorchidism), hormone therapy (to stimulate testicular descent), surgical intervention (orchiopexy) to reposition the testicle(s) into the scrotum, if necessary, performed around the age of 6 to 12 months, open or laparoscopic surgery (in cases of high or persistent cryptorchidism), testicular prostheses (in cases of absent or non-functional testicles), regular follow-up visits with a urologist or pediatric surgeon"
5,Ethylene glycol poisoning-1,"Nausea, vomiting, abdominal pain, General malaise, weakness, Increased thirst, frequent urination","Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis"
6,Ethylene glycol poisoning-2,"Metabolic acidosis, apid breathing, rapid heart rate, confusion, headache, dizziness, seizures","Blood tests, Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis"
7,Ethylene glycol poisoning-3,"Decreased urine output, swelling in the legs and ankles, and signs of fluid overload, Severe kidney damage","Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis"
8,Atrophic vaginitis,"Vaginal dryness, Vaginal burning, frequent urination, urinary tract infections, Painful intercourse","Vaginal moisturizers, Vaginal estrogen therapy, Lifestyle modifications"
9,Fracture,"Pain, Swelling, Bruising, Deformity, Difficulty moving, Loss of function","Immobilization, Surgery, Rehabilitation"
10,Cellulitis,"Redness, Pain, tenderness, Swelling, Skin changes, Lymph node enlargement","Antibiotics, Warm compresses, immobilization, rest, Pain management"
11,Eye alignment disorder,"Double vision, Eye fatigue, Poor depth perception, Head tilting","Glasses, Patching therapy, Vision therapy, Botox injections, Surgical intervention"
12,Headache after lumbar puncture,throbbing headache,"Epidural blood patch, Conservative measures"
13,Pyloric stenosis,"Persistent hunger, Weight loss, Dehydration, Visible peristalsis, Palpable mass, Fussiness ","Ultrasound, Blood tests, Pyloromyotomy"
14,Adenoid cystic carcinoma,"Lump, swelling, Facial numbness, tingling","Surgery, Radiation therapy"
15,Pleomorphic adenoma,"Painless lump or swelling, Facial changes",Surgical excision
16,Warthin tumor,"Painless lump or swelling, Facial changes",Surgical excision
17,Mucoepidermoid carcinoma,"Lump, swelling, Difficulty, pain when swallowing and speaking, Facial weakness, Facial paralysis ","Surgery, Radiation therapy"
18,Acinic cell carcinoma,"Lump, swelling, Facial changes","Surgery, Radiation therapy"
19,Mucocele,Painless fluid-filled swelling in the oral cavity,"Observation, Surgical removal if necessary"
20,Osteochondrosis,"Joint pain, stiffness, swelling, reduced range of motion","Physical therapy, pain medications, rest, surgery"
21,Sialolithiasis,"Swelling, pain, tenderness, difficulty eating","Warm compresses, Saliva stimulation, Sialagogues, Stone removal "
22,Submandibular stones,"Swelling, pain, dry mouth, bad taste","Hydration,Saliva stimulation, Stone removal"
23,Parotid stones,"Swelling, pain, dry mouth, bad taste","Hydration,Saliva stimulation, Stone removal"
24,Recurrent salivary stones,Frequent episodes of stone formation,"Hydration,Saliva stimulation, Stone removal"
25,Wharton's duct stones,"Swelling, pain, dry mouth, bad taste","Hydration,Saliva stimulation, Stone removal"
26,Mumps,"Swollen salivary glands (usually parotid), fever, headache, fatigue","Supportive care, pain relievers, isolation, vaccination (MMR)"
27,Ludwig's angina,"Severe swelling of the floor of the mouth, fever, difficulty swallowing, drooling","Intravenous antibiotics, airway management, surgical drainage"
28,Mucocele,"Painless swelling, usually on the lower lip or floor of the mouth","Observation, surgical removal if necessary"
29,Abscess,"Swelling, pain, redness, fever, pus formation","Antibiotics, surgical drainage"
30,Sjögren's syndrome,"Dry mouth and eyes, fatigue, joint pain, dry skin","Symptomatic relief with artificial tears, saliva substitutes, frequent sips of water, medications to stimulate saliva production, immune-modulating drugs"
31,Open-Angle Glaucoma,"Gradual loss of peripheral vision, tunnel vision","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
32,Angle-Closure Glaucoma,"Severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting","Medications (e.g., oral or intravenous acetazolamide, topical beta blockers, alpha agonists, prostaglandin analogs), laser peripheral iridotomy, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
33,Normal-Tension Glaucoma,"Gradual loss of vision, visual field defects","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
34,Congenital Glaucoma,"Cloudy or hazy eyes, excessive tearing, sensitivity to light","Surgery (e.g., trabeculotomy, goniotomy) to create a new drainage pathway, medications to reduce intraocular pressure"
35,Secondary Glaucoma,Varies depending on the underlying cause,"Treatment of the underlying condition (e.g., medication adjustments, surgery, trauma management, tumor removal, inflammation control)"
36,Pigmentary Glaucoma,"Blurred vision, halos around lights, eye pain","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
37,Exfoliation Glaucoma,"Elevated intraocular pressure, visual field loss","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
38,Ocular Hypertension,Elevated intraocular pressure without optic nerve damage,"Observation with regular eye exams, use of eye drops to lower intraocular pressure (if necessary)"
39,Low-Tension Glaucoma,"Gradual loss of vision, visual field defects","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
40,Anorexia Nervosa,"Extreme weight loss, fear of gaining weight, distorted body image","Medical monitoring, nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medications (in some cases), hospitalization (for severe cases), support groups"
